epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,892.796,1.50724,1.79466,1.15926,0.50689,0.45555,0.50725,0.29936,1.29786,1.80878,1.11902,0.0804912,0.000197059,0.000197059
2,1780.32,1.34967,1.25091,1.09072,0.6055,0.58085,0.61413,0.37645,1.24455,1.0735,1.0782,0.0606911,0.00039698,0.00039698
3,2668.63,1.31158,1.15159,1.07605,0.62807,0.59509,0.62172,0.39161,1.24116,1.14988,1.10214,0.0408907,0.000596588,0.000596588
4,3555.45,1.30777,1.11794,1.07194,0.69287,0.64485,0.70217,0.44449,1.20882,0.96634,1.08262,0.0210898,0.000795644,0.000795644
5,4445.16,1.2942,1.07566,1.07197,0.64037,0.69856,0.68164,0.4474,1.21369,1.04607,1.06799,0.00128803,0.000993914,0.000993914
6,5333.37,1.26257,1.02576,1.06097,0.68269,0.66391,0.71772,0.47341,1.16696,0.93061,1.06293,0.000995075,0.000995075,0.000995075
7,6222.66,1.25787,1.01736,1.05843,0.70432,0.67505,0.68314,0.43948,1.19956,0.92323,1.08014,0.000992915,0.000992915,0.000992915
8,7112.21,1.23916,0.96552,1.05142,0.64249,0.77749,0.71707,0.46895,1.17725,0.95333,1.07794,0.000990367,0.000990367,0.000990367
9,8001.85,1.24464,0.96427,1.05353,0.74028,0.64312,0.70375,0.45763,1.20705,0.9124,1.08728,0.000987433,0.000987433,0.000987433
10,8891.7,1.23794,0.93652,1.04703,0.74783,0.69807,0.74471,0.49023,1.14979,0.88522,1.04732,0.000984117,0.000984117,0.000984117
11,9780.75,1.22219,0.91447,1.03844,0.70205,0.72861,0.75206,0.48277,1.17273,0.80273,1.06088,0.000980423,0.000980423,0.000980423
12,10670.2,1.20028,0.92381,1.03245,0.65593,0.70303,0.69812,0.45397,1.18349,0.95354,1.07447,0.000976352,0.000976352,0.000976352
13,11560.5,1.20303,0.9038,1.03782,0.75568,0.67016,0.74748,0.5052,1.15724,0.81806,1.05198,0.000971911,0.000971911,0.000971911
14,12449,1.19764,0.88007,1.03567,0.70026,0.72207,0.73808,0.49115,1.15792,0.80163,1.05034,0.000967102,0.000967102,0.000967102
15,13338.1,1.20072,0.89027,1.03756,0.72886,0.6955,0.75019,0.49235,1.18137,0.82754,1.06443,0.000961931,0.000961931,0.000961931
16,14227.9,1.19815,0.86267,1.03048,0.7152,0.74693,0.76779,0.50781,1.14486,0.82965,1.05306,0.000956403,0.000956403,0.000956403
17,15117.2,1.1918,0.86786,1.03057,0.72419,0.78487,0.80136,0.52895,1.16609,0.77023,1.05694,0.000950523,0.000950523,0.000950523
18,16006.1,1.17762,0.85602,1.02456,0.72054,0.7512,0.77247,0.51323,1.15375,0.81742,1.0572,0.000944297,0.000944297,0.000944297
19,16895.9,1.17557,0.84139,1.0205,0.75624,0.70073,0.75064,0.48994,1.17705,0.87684,1.07064,0.000937731,0.000937731,0.000937731
20,17784.6,1.16075,0.83838,1.01698,0.70159,0.70304,0.75044,0.49642,1.18055,0.78571,1.05811,0.000930832,0.000930832,0.000930832
21,18674.4,1.17106,0.83508,1.01917,0.69088,0.78521,0.79447,0.52125,1.16332,0.76189,1.05117,0.000923607,0.000923607,0.000923607
22,19565,1.15332,0.81685,1.0133,0.78092,0.72784,0.77306,0.49112,1.18631,0.75827,1.07055,0.000916062,0.000916062,0.000916062
23,20454.9,1.14826,0.79947,1.0115,0.681,0.80521,0.79933,0.53318,1.14911,0.74611,1.04832,0.000908205,0.000908205,0.000908205
24,21344.6,1.15391,0.80076,1.01051,0.80421,0.70867,0.78426,0.52516,1.14444,0.74082,1.04879,0.000900044,0.000900044,0.000900044
25,22234.9,1.15209,0.79145,1.00366,0.75333,0.77308,0.78185,0.53238,1.14475,0.75369,1.04756,0.000891587,0.000891587,0.000891587
26,23125.1,1.14267,0.7769,1.00639,0.65746,0.78189,0.77386,0.50858,1.14155,0.82647,1.0513,0.000882843,0.000882843,0.000882843
27,24014.4,1.14318,0.79986,1.01118,0.77659,0.73624,0.77197,0.51853,1.14728,0.78842,1.05053,0.000873819,0.000873819,0.000873819
28,24904,1.12808,0.78407,1.00778,0.77786,0.7459,0.78435,0.52018,1.12447,0.75155,1.03901,0.000864525,0.000864525,0.000864525
29,25793.9,1.12886,0.77647,1.00547,0.76998,0.73842,0.80402,0.53528,1.14977,0.72841,1.05343,0.00085497,0.00085497,0.00085497
30,26684.1,1.12537,0.78533,1.00129,0.74939,0.75053,0.77653,0.53013,1.15064,0.73814,1.05788,0.000845163,0.000845163,0.000845163
31,27575.1,1.12282,0.76749,1.00005,0.74354,0.73972,0.76482,0.52589,1.13188,0.71552,1.04684,0.000835114,0.000835114,0.000835114
32,28465.1,1.12128,0.76025,0.99674,0.72877,0.7785,0.77421,0.51848,1.16314,0.78975,1.0576,0.000824833,0.000824833,0.000824833
33,29356,1.1232,0.75994,1.00194,0.6824,0.7843,0.76135,0.52183,1.13749,0.71472,1.04296,0.000814331,0.000814331,0.000814331
34,30246.1,1.13433,0.77098,1.00771,0.77688,0.72814,0.77963,0.52619,1.1237,0.72776,1.04431,0.000803617,0.000803617,0.000803617
35,31136.7,1.1102,0.74669,0.99425,0.71641,0.82583,0.80826,0.53996,1.14547,0.74321,1.0512,0.000792701,0.000792701,0.000792701
36,32027.3,1.10056,0.75489,0.9937,0.71697,0.79138,0.77745,0.52159,1.14931,0.75995,1.04682,0.000781596,0.000781596,0.000781596
37,32917.7,1.09492,0.72685,0.98731,0.77634,0.74276,0.79161,0.52153,1.13501,0.72921,1.04424,0.000770312,0.000770312,0.000770312
38,33808.4,1.10132,0.72588,0.99456,0.75712,0.76613,0.81158,0.54066,1.14755,0.70614,1.0496,0.000758859,0.000758859,0.000758859
39,34697.9,1.09185,0.71992,0.98777,0.74809,0.80552,0.8013,0.5488,1.15065,0.70186,1.05099,0.00074725,0.00074725,0.00074725
40,35587.7,1.09689,0.71571,0.99493,0.73573,0.79149,0.79351,0.53101,1.15263,0.80282,1.05461,0.000735495,0.000735495,0.000735495
41,36477.2,1.08573,0.70705,0.98402,0.79605,0.77549,0.8194,0.54054,1.14454,0.71623,1.04868,0.000723607,0.000723607,0.000723607
42,37367.9,1.08528,0.70139,0.98679,0.78625,0.72867,0.78568,0.5301,1.13191,0.71368,1.04164,0.000711596,0.000711596,0.000711596
43,38258.6,1.09692,0.70564,0.98741,0.76813,0.75711,0.78831,0.53542,1.14097,0.76302,1.04488,0.000699476,0.000699476,0.000699476
