epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,919.49,5.49592,4.32893,3.92858,0,0,0,0,6.23606,4.80331,3.90083,0.000410539,0.000410539,0.000410539
2,1824.68,3.43525,2.86945,2.69894,0.67554,0.19578,0.15418,0.04971,2.63832,2.41823,2.09955,0.000810827,0.000810827,0.000810827
3,2730.99,2.61154,2.29088,1.95816,0.71611,0.297,0.26994,0.11394,2.11721,2.10658,1.72031,0.00119462,0.00119462,0.00119462
4,3635.87,2.23702,2.02681,1.7242,0.78814,0.29197,0.33352,0.13309,2.13747,1.75315,1.67257,0.00117575,0.00117575,0.00117575
5,4547.39,2.04606,1.82579,1.60004,0.64868,0.44153,0.43318,0.22573,1.64214,1.53699,1.42982,0.001151,0.001151,0.001151
6,5451.97,1.89512,1.70621,1.49564,0.78426,0.37698,0.40686,0.20453,1.60643,1.80237,1.39084,0.00112625,0.00112625,0.00112625
7,7316.74,1.80349,1.62746,1.44134,0.74586,0.49736,0.51603,0.26876,1.54456,1.43168,1.36763,0.0011015,0.0011015,0.0011015
8,8222.03,1.74326,1.55629,1.40868,0.45802,0.49395,0.53022,0.28354,1.47086,1.48425,1.32301,0.00107675,0.00107675,0.00107675
9,9133.2,1.6933,1.50755,1.37075,0.76133,0.49759,0.57521,0.31586,1.44497,1.3032,1.31345,0.001052,0.001052,0.001052
10,10044.3,1.6491,1.44674,1.33528,0.74392,0.50432,0.59097,0.318,1.45892,1.32278,1.27556,0.00102725,0.00102725,0.00102725
11,10958.8,1.62418,1.4266,1.313,0.72066,0.56002,0.63415,0.36077,1.36438,1.12482,1.23424,0.0010025,0.0010025,0.0010025
12,11872.1,1.60097,1.38087,1.29314,0.59733,0.58983,0.63401,0.36067,1.37243,1.1335,1.22902,0.00097775,0.00097775,0.00097775
13,12788.3,1.54346,1.31631,1.26573,0.54373,0.63974,0.61912,0.32257,1.40757,1.20616,1.25958,0.000953,0.000953,0.000953
14,13701.9,1.53293,1.3043,1.25511,0.53074,0.62806,0.64401,0.36729,1.37115,1.11668,1.23569,0.00092825,0.00092825,0.00092825
15,14615.5,1.50996,1.26558,1.25079,0.69242,0.57927,0.6304,0.3452,1.3978,1.06603,1.25009,0.0009035,0.0009035,0.0009035
16,15531.4,1.49232,1.23848,1.24051,0.65681,0.63797,0.68246,0.39722,1.31607,1.01614,1.20493,0.00087875,0.00087875,0.00087875
17,16445.8,1.48378,1.2104,1.22525,0.62345,0.64189,0.67706,0.38688,1.36106,1.0527,1.21771,0.000854,0.000854,0.000854
18,17359.7,1.46463,1.22389,1.22128,0.67346,0.5957,0.67187,0.3985,1.28654,1.01034,1.19432,0.00082925,0.00082925,0.00082925
19,18276.1,1.46004,1.17928,1.21602,0.66272,0.66823,0.68863,0.4137,1.27199,0.93704,1.18393,0.0008045,0.0008045,0.0008045
20,19190.9,1.44715,1.17159,1.20541,0.65501,0.66918,0.70776,0.42834,1.27149,0.95959,1.17096,0.00077975,0.00077975,0.00077975
21,20103.9,1.42119,1.14457,1.18597,0.65518,0.63137,0.6723,0.4024,1.28073,0.99519,1.17621,0.000755,0.000755,0.000755
22,21018.1,1.40109,1.11327,1.19098,0.64818,0.69052,0.69215,0.40829,1.31918,1.07351,1.20923,0.00073025,0.00073025,0.00073025
23,21932.7,1.40827,1.11674,1.18275,0.68364,0.66039,0.70101,0.41602,1.26146,0.95922,1.16974,0.0007055,0.0007055,0.0007055
24,22850.8,1.40986,1.10874,1.18133,0.70961,0.69168,0.71827,0.43209,1.26108,1.00725,1.16435,0.00068075,0.00068075,0.00068075
25,23764.4,1.39963,1.11316,1.1771,0.69764,0.68779,0.70859,0.44679,1.24816,0.90504,1.16718,0.000656,0.000656,0.000656
26,24679.3,1.37006,1.08514,1.16265,0.75414,0.66516,0.72049,0.44385,1.22445,0.95166,1.14933,0.00063125,0.00063125,0.00063125
27,25592.7,1.37383,1.06363,1.16892,0.68117,0.68844,0.69971,0.42686,1.25399,0.95373,1.15236,0.0006065,0.0006065,0.0006065
28,26509.8,1.35266,1.0574,1.15885,0.74453,0.65811,0.72624,0.44844,1.23575,0.87388,1.15198,0.00058175,0.00058175,0.00058175
29,27424.9,1.34345,1.04887,1.1583,0.75279,0.68056,0.73242,0.43711,1.21454,0.88413,1.13677,0.000557,0.000557,0.000557
30,28340.5,1.34799,1.04671,1.15829,0.68898,0.66385,0.70453,0.42756,1.22743,1.10322,1.14495,0.00053225,0.00053225,0.00053225
31,29253.5,1.3463,1.02462,1.15681,0.67897,0.70742,0.73401,0.45877,1.20204,0.89094,1.13596,0.0005075,0.0005075,0.0005075
32,30168,1.33321,1.01889,1.15614,0.79387,0.63728,0.74431,0.46988,1.20662,0.88721,1.13784,0.00048275,0.00048275,0.00048275
33,31082.1,1.34995,1.02238,1.15716,0.73356,0.67671,0.74768,0.45625,1.22893,0.85607,1.14668,0.000458,0.000458,0.000458
34,31999.4,1.32815,1.01624,1.14226,0.8016,0.67307,0.74886,0.45804,1.20564,0.89577,1.13315,0.00043325,0.00043325,0.00043325
35,32910.8,1.31564,0.99409,1.13971,0.77961,0.67136,0.74981,0.46617,1.20473,0.83797,1.13621,0.0004085,0.0004085,0.0004085
36,33825.7,1.31879,1.00286,1.13238,0.76418,0.66785,0.7495,0.4688,1.21265,0.86976,1.13509,0.00038375,0.00038375,0.00038375
37,34736.9,1.31863,1.00226,1.14524,0.72466,0.68185,0.73389,0.46087,1.1929,0.87239,1.12449,0.000359,0.000359,0.000359
38,35650.8,1.29518,0.98766,1.14114,0.73923,0.67621,0.74592,0.48061,1.18519,0.82394,1.1206,0.00033425,0.00033425,0.00033425
39,36563.8,1.29674,0.97481,1.13284,0.8132,0.6821,0.77022,0.47774,1.2028,0.82225,1.12887,0.0003095,0.0003095,0.0003095
40,37478.8,1.2924,0.96762,1.12037,0.76629,0.7084,0.77673,0.49291,1.21023,0.84618,1.12802,0.00028475,0.00028475,0.00028475
41,38384.6,1.16041,0.89422,1.11841,0.74318,0.69761,0.73858,0.48228,1.19631,0.83483,1.12868,0.00026,0.00026,0.00026
42,39290.1,1.12011,0.81151,1.10395,0.67114,0.73511,0.74182,0.47993,1.19429,0.85917,1.12334,0.00023525,0.00023525,0.00023525
43,40195.8,1.12482,0.79457,1.10309,0.71224,0.72232,0.75053,0.49234,1.1859,0.82833,1.11503,0.0002105,0.0002105,0.0002105
44,41103,1.11639,0.77574,1.09681,0.77324,0.64882,0.75118,0.49046,1.18459,0.8081,1.1153,0.00018575,0.00018575,0.00018575
45,42007.8,1.10877,0.78014,1.0923,0.68034,0.74962,0.75313,0.49561,1.19742,0.79697,1.12559,0.000161,0.000161,0.000161
46,42914.7,1.10073,0.76997,1.0914,0.69704,0.71856,0.74792,0.49523,1.17143,0.79061,1.1106,0.00013625,0.00013625,0.00013625
47,43820.6,1.09429,0.76568,1.0879,0.73509,0.70266,0.74636,0.48449,1.1902,0.86,1.11872,0.0001115,0.0001115,0.0001115
48,44725.4,1.09224,0.75488,1.08818,0.7614,0.68456,0.75757,0.49323,1.16901,0.79101,1.10727,8.675e-05,8.675e-05,8.675e-05
49,45633.9,1.0855,0.73898,1.08268,0.7007,0.72213,0.74718,0.49861,1.17001,0.78768,1.10923,6.2e-05,6.2e-05,6.2e-05
50,46545.6,1.07785,0.73656,1.08101,0.71298,0.70683,0.75562,0.50223,1.17156,0.78513,1.10899,3.725e-05,3.725e-05,3.725e-05
